"name"	"MASTER PGC045903"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3312'>ATEL 3312</a>"	"alias"	"2"
"aliases"	"MASTER PGC045903,PTF11bui"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"MASTER"
"discovermonth"	"4"
"discoveryear"	"2011"
"host"	"CGCG 245-33"
"maxday"	"25"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.02846"
"sndec"	"+47:27:15.0"
"snra"	"13:12:56.30"
"photometry"	"timeunit"	"MJD"	"time"	"55676.5"	"abmag"	"16.2"	"source"	"2,1"
