"name"	"SN2013eh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003601.txt'>CBET 3601</a>"	"alias"	"2"
"source"	"name"	"Mse"	"alias"	"3"
"aliases"	"SN2013eh,PSN J16160919+3832530"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"8"
"discoveryear"	"2013"
"galdec"	"+383245"
"galra"	"161609"
"host"	"A161609+3832"
"maxday"	"8"
"maxmonth"	"8"
"maxyear"	"2013"
"redshift"	"0.034999"
"sndec"	"+38:32:53.0"
"snra"	"16:16:09.19"
"photometry"	"timeunit"	"MJD"	"time"	"56512.5"	"abmag"	"16.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56513.861"	"band"	"CR"	"abmag"	"16.5"	"source"	"3,1"
