"name"	"PSN J01112228-0649146"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J01112228-0649146.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J01112228-0649146,SNhunt265"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2014"
"host"	"MCG -1-4-10"
"maxday"	"21"
"maxmonth"	"11"
"maxyear"	"2014"
"sndec"	"-06:49:14.6"
"snra"	"01:11:22.28"
"photometry"	"timeunit"	"MJD"	"time"	"56982.5"	"abmag"	"19.7"	"source"	"2,1"
