"name"	"PS15vi"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15vi,iPTF15aek"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"PS1"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.13"
"sndec"	"+50:41:13.2"
"snra"	"12:56:34.20"
"photometry"	"timeunit"	"MJD"	"time"	"57108.5"	"abmag"	"19.5"	"source"	"2,1"
