"name"	"SN2013ff"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003656.txt'>CBET 3656</a>"	"alias"	"2"
"aliases"	"SN2013ff,PSN J09133888+7628108"
"claimedtype"	"Ic"
"discoverday"	"3"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"+762831"
"galra"	"091343"
"host"	"NGC 2748"
"hvel"	"1475"
"maxday"	"3"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.004923"
"sndec"	"+76:28:10.8"
"snra"	"09:13:38.88"
"photometry"	"timeunit"	"MJD"	"time"	"56538.5"	"abmag"	"15.1"	"source"	"2,1"
