"name"	"SN2012ek"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003212.txt'>CBET 3212</a>"	"alias"	"2"
"aliases"	"SN2012ek,PSN J18402884+3607174"
"claimedtype"	"Ib"
"discoverday"	"17"
"discoverer"	"Xing Gao et al."
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"+360730"
"galra"	"184030"
"host"	"UGC 11322"
"hvel"	"8563"
"maxday"	"17"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.028563"
"sndec"	"+36:07:17.4"
"snra"	"18:40:28.84"
"photometry"	"timeunit"	"MJD"	"time"	"56156.5"	"abmag"	"17.9"	"source"	"2,1"
