"name"	"Gaia15agf"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"2"	"secondary"	"1"
"source"	"name"	"<a href='http://gaia.ac.uk/selected-gaia-science-alerts'>GAIA page</a>"	"alias"	"3"
"aliases"	"Gaia15agf,PS15auo"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"Gaia Photometric Science Alerts programme"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"28"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.06"
"sndec"	"-20:19:46.0"
"snra"	"22:02:29.37"
"photometry"	"timeunit"	"MJD"	"time"	"57170.5"	"abmag"	"18.5"	"source"	"3,2"
"photometry"	"timeunit"	"MJD"	"time"	"57171.345"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.59"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57171.419"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.54"	"source"	"1"
