"name"	"PSN J09454377+4107380"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/tocp.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J09454377+4107380,CSS110428:094544+410738"
"claimedtype"	"LBV"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"maxday"	"27"
"maxmonth"	"4"
"maxyear"	"2011"
"sndec"	"+41:07:38.0"
"snra"	"09:45:43.77"
"photometry"	"timeunit"	"MJD"	"time"	"55678.5"	"abmag"	"19.2"	"source"	"2,1"
