"name"	"SN2011dw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002756.txt'>CBET 2756</a>"	"alias"	"2"
"aliases"	"SN2011dw,PSN J16313945+4129229"
"claimedtype"	"IIb"
"discoverday"	"9"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"8"
"discoveryear"	"2011"
"galdec"	"+412937"
"galra"	"163138"
"host"	"MCG +7-34-110"
"hvel"	"9100"
"maxday"	"9"
"maxmonth"	"8"
"maxyear"	"2011"
"redshift"	"0.0303"
"sndec"	"+41:29:22.8"
"snra"	"16:31:39.45"
"photometry"	"timeunit"	"MJD"	"time"	"55782.5"	"abmag"	"17.4"	"source"	"2,1"
