"name"	"OGLE-2014-SN-129"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6700'>ATEL 6700</a>"	"alias"	"2"
"aliases"	"OGLE-2014-SN-129,OGLE-2014-SN-161"
"claimedtype"	"unk"
"discoverday"	"6"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"11"
"discoveryear"	"2014"
"maxday"	"6"
"maxmonth"	"11"
"maxyear"	"2014"
"sndec"	"-76:14:16.9"
"snra"	"01:37:43.40"
"photometry"	"timeunit"	"MJD"	"time"	"56967.5"	"abmag"	"19.3"	"source"	"2,1"
