"name"	"SN2002C"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"14"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2002"
"galdec"	"+265937"
"galra"	"122750"
"host"	"IC 3376"
"hvel"	"7104"
"maxday"	"14"
"maxmonth"	"1"
"maxyear"	"2002"
"redshift"	"0.024"
"sndec"	"+270006.1"
"snra"	"122752.66"
"photometry"	"timeunit"	"MJD"	"time"	"52288.5"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52289.5"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52293.21"	"band"	"R"	"abmag"	"17"	"source"	"1,2"
