"name"	"SN2013az"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003457.txt'>CBET 3457</a>"	"alias"	"2"
"aliases"	"SN2013az,PSN J05395213-4030281"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-403045"
"galra"	"053953"
"host"	"ESO 306-G16"
"hvel"	"11192"
"maxday"	"23"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.037279"
"sndec"	"-40:30:28.1"
"snra"	"05:39:52.13"
"photometry"	"timeunit"	"MJD"	"time"	"56374.5"	"abmag"	"17.1"	"source"	"2,1"
