"name"	"SN2012br"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003085.txt'>CBET 3085</a>"	"alias"	"2"
"aliases"	"SN2012br,CSS120328:122417+185529"
"claimedtype"	"II"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"+185529"
"galra"	"122417"
"host"	"A122417+1855"
"hvel"	"5700"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.019"
"sndec"	"+18:55:29.3"
"snra"	"12:24:17.02"
"photometry"	"timeunit"	"MJD"	"time"	"56013.5"	"abmag"	"17.0"	"source"	"2,1"
