"name"	"SN2000el"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"23"
"discoverer"	"Puckett, George"
"discovermonth"	"10"
"discoveryear"	"2000"
"galdec"	"+170856"
"galra"	"222827"
"host"	"NGC 7290"
"hvel"	"2907"
"maxday"	"4"
"maxmonth"	"12"
"maxyear"	"2000"
"redshift"	"0.00974"
"sndec"	"+170851.2"
"snra"	"222826.62"
"photometry"	"timeunit"	"MJD"	"time"	"51840.1"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51848.1"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51856.2"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51859.2"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51869.03"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51875.1"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51882.97"	"band"	"C"	"abmag"	"15.25"	"source"	"1,2"
