"name"	"MASTER 013902.45+613055.6"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3870'>ATEL 3870</a>"	"alias"	"2"
"aliases"	"MASTER 013902.45+613055.6"
"claimedtype"	"unk"
"discoverday"	"12"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2012"
"maxday"	"12"
"maxmonth"	"1"
"maxyear"	"2012"
"sndec"	"+61:30:55.6"
"snra"	"01:39:02.45"
"photometry"	"timeunit"	"MJD"	"time"	"55938.5"	"abmag"	"17.1"	"source"	"2,1"
