"name"	"ASASSN-14dd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6269'>ATEL 6269</a>"	"alias"	"2"
"aliases"	"ASASSN-14dd"
"claimedtype"	"Ibn"
"discoverday"	"23"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"6"
"discoveryear"	"2014"
"host"	"NGC 2466"
"maxday"	"23"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.017722"
"sndec"	"-71:24:14.0"
"snra"	"07:45:14.38"
"photometry"	"timeunit"	"MJD"	"time"	"56831.5"	"abmag"	"15.6"	"source"	"2,1"
