"name"	"SN2013gg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003705.txt'>CBET 3705</a>"	"alias"	"2"
"aliases"	"SN2013gg,PSN J09210825+4935338"
"claimedtype"	"IIP"
"discoverday"	"4"
"discoverer"	"Xing Gao et al."
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"+493608"
"galra"	"092103"
"host"	"UGC 4958"
"hvel"	"8222"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.0274"
"sndec"	"+49:35:33.8"
"snra"	"09:21:08.25"
"photometry"	"timeunit"	"MJD"	"time"	"56600.5"	"abmag"	"17.9"	"source"	"2,1"
