"name"	"SN2002cj"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ic"
"discoverday"	"21"
"discoverer"	"LOTOSS"
"discovermonth"	"4"
"discoveryear"	"2002"
"galdec"	"-195121"
"galra"	"152120"
"host"	"E582-G05"
"hvel"	"6758"
"maxday"	"3"
"maxmonth"	"5"
"maxyear"	"2002"
"redshift"	"0.0228"
"sndec"	"-195127.3"
"snra"	"152120.71"
"photometry"	"timeunit"	"MJD"	"time"	"52385.5"	"band"	"C"	"abmag"	"16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52386.5"	"band"	"C"	"abmag"	"15.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52396.78"	"band"	"V"	"abmag"	"15.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52397.71"	"band"	"V"	"abmag"	"15.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52398.72"	"band"	"V"	"abmag"	"15.76"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52406.94"	"band"	"R"	"abmag"	"16.4"	"source"	"1,2"
