"name"	"SN1999gu"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"29"
"discoverer"	"Cappellaro et al."
"discovermonth"	"12"
"discoveryear"	"1999"
"galdec"	"-275140"
"galra"	"033300"
"host"	"A033300-2751"
"hvel"	"40900"
"maxday"	"29"
"maxmonth"	"12"
"maxyear"	"1999"
"redshift"	"0.147"
"sndec"	"-275140.1"
"snra"	"033300.15"
"photometry"	"timeunit"	"MJD"	"time"	"51541.17"	"band"	"V"	"abmag"	"22.2"	"source"	"1,2"
