"name"	"Gaia15aes"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"claimedtype"	"IIP"
"discoverday"	"4"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"4"
"maxmonth"	"5"
"maxyear"	"2015"
"sndec"	"-16.73362"
"snra"	"173.17822"
"photometry"	"timeunit"	"MJD"	"time"	"57146.708"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.84"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57146.782"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.91"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57158.537"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.48"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57158.713"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.47"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57158.787"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.41"	"source"	"1"
