"name"	"SN2013fn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003662.txt'>CBET 3662</a>"	"alias"	"2"
"aliases"	"SN2013fn,PSN J21002376-1429522"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"-142945"
"galra"	"210026"
"host"	"IC 1342"
"hvel"	"8134"
"maxday"	"24"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.026975"
"sndec"	"-14:29:52.2"
"snra"	"21:00:23.76"
"photometry"	"timeunit"	"MJD"	"time"	"56559.5"	"abmag"	"16.8"	"source"	"2,1"
