"name"	"SN2013Q"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003401.txt'>CBET 3401</a>"	"alias"	"2"
"aliases"	"SN2013Q,PSN J23470787+2929115"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"Xing Gao et al."
"discovermonth"	"2"
"discoveryear"	"2013"
"galdec"	"+292902"
"galra"	"234705"
"host"	"NGC 7753"
"hvel"	"5190"
"maxday"	"1"
"maxmonth"	"2"
"maxyear"	"2013"
"redshift"	"0.017239"
"sndec"	"+29:29:11.5"
"snra"	"23:47:07.87"
"photometry"	"timeunit"	"MJD"	"time"	"56324.5"	"abmag"	"15.6"	"source"	"2,1"
