"name"	"SN2015aa"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004172.txt'>CBET 4172</a>"	"alias"	"2"
"aliases"	"SN2015aa,KISS15q"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"Kiso Supernova Survey (KISS) collaboration"
"discovermonth"	"5"
"discoveryear"	"2015"
"galdec"	"+284755"
"galra"	"131254"
"host"	"A131254+2847"
"hvel"	"49200"
"maxday"	"18"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.18"
"sndec"	"+28:47:55.3"
"snra"	"13:12:53.70"
"photometry"	"timeunit"	"MJD"	"time"	"57160.5"	"abmag"	"20.6"	"source"	"2,1"
