"name"	"SN2014I"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003791.txt'>CBET 3791</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"source"	"name"	"Stan Howerton"	"alias"	"4"
"aliases"	"SN2014I,PSN J05421980-2532399"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"Stu Parker"
"discovermonth"	"1"
"discoveryear"	"2014"
"galdec"	"-253228"
"galra"	"054221"
"host"	"ESO 487-G36"
"hvel"	"9030"
"maxday"	"26"
"maxmonth"	"1"
"maxyear"	"2014"
"redshift"	"0.03"
"sndec"	"-25:32:39.9"
"snra"	"05:42:19.80"
"photometry"	"timeunit"	"MJD"	"time"	"56676.284"	"band"	"C"	"abmag"	"18.2"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56678.094"	"band"	"U"	"abmag"	"16.3"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"56683.5"	"abmag"	"17.0"	"source"	"2,1"
