"name"	"SN2008bb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001200/CBET001296.txt'>CBET 1296</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008bb,CSS080303:075520+203908"
"claimedtype"	"II"
"discoverday"	"2"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2008"
"galdec"	"+203908"
"galra"	"075519"
"host"	"A075519+2039"
"hvel"	"9000"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2008"
"redshift"	"0.03"
"sndec"	"+20:39:08.4"
"snra"	"07:55:19.52"
"photometry"	"timeunit"	"MJD"	"time"	"54527.5"	"abmag"	"19.2"	"source"	"2,1"
