"name"	"SN2013V"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003411.txt'>CBET 3411</a>"	"alias"	"2"
"aliases"	"SN2013V,PSN J09084154+4448496"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"+444838"
"galra"	"090843"
"host"	"UGC 4798"
"hvel"	"8027"
"maxday"	"4"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.026762"
"sndec"	"+44:48:49.6"
"snra"	"09:08:41.54"
"photometry"	"timeunit"	"MJD"	"time"	"56355.5"	"abmag"	"16.5"	"source"	"2,1"
