"name"	"PSN J22211119-4007575"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J22211119-4007575.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J22211119-4007575,SSS120515:222111-400757"
"claimedtype"	"unk"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"host"	"PGC 589884"
"maxday"	"14"
"maxmonth"	"5"
"maxyear"	"2012"
"sndec"	"-40:07:57.5"
"snra"	"22:21:11.19"
"photometry"	"timeunit"	"MJD"	"time"	"56061.5"	"abmag"	"17.9"	"source"	"2,1"
