"name"	"SN2010ky"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002601.txt'>CBET 2601</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010ky,CSS101012:004005-063616"
"claimedtype"	"IIP"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2010"
"galdec"	"-063616"
"galra"	"004004"
"host"	"A004004-0636"
"maxday"	"11"
"maxmonth"	"10"
"maxyear"	"2010"
"sndec"	"-06:36:16.5"
"snra"	"00:04:04.97"
"photometry"	"timeunit"	"MJD"	"time"	"55480.5"	"abmag"	"19.8"	"source"	"2,1"
