"name"	"SN2012M"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002990.txt'>CBET 2990</a>"	"alias"	"2"
"aliases"	"SN2012M,PSN J14565985+2435595"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"+243624"
"galra"	"145700"
"host"	"PGC 53433"
"hvel"	"10006"
"maxday"	"19"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0335"
"sndec"	"+24:35:59.5"
"snra"	"14:56:59.85"
"photometry"	"timeunit"	"MJD"	"time"	"55945.5"	"abmag"	"17.0"	"source"	"2,1"
