"name"	"ASASSN-15ae"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6870'>ATEL 6870</a>"	"alias"	"2"
"aliases"	"ASASSN-15ae,Gaia15aaj"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"1"
"discoveryear"	"2015"
"maxday"	"8"
"maxmonth"	"1"
"maxyear"	"2015"
"redshift"	"0.031238"
"sndec"	"+34:25:55.8"
"snra"	"15:51:05.81"
"photometry"	"timeunit"	"MJD"	"time"	"57030.5"	"abmag"	"16.1"	"source"	"2,1"
