"name"	"MASTER OT J115330.85+633618.4"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5952'>ATEL 5952</a>"	"alias"	"2"
"aliases"	"MASTER OT J115330.85+633618.4,CSS140313:115331+633619"
"discoverday"	"2"
"discoverer"	"MASTER"
"discovermonth"	"3"
"discoveryear"	"2014"
"host"	"PGC 2658384"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2014"
"sndec"	"+63:36:18.4"
"snra"	"11:53:30.85"
"photometry"	"timeunit"	"MJD"	"time"	"56718.5"	"abmag"	"17.1"	"source"	"2,1"
