"name"	"OGLE-2014-SN-010"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5875'>ATEL 5875</a>"	"alias"	"2"
"aliases"	"OGLE-2014-SN-010,OGLE-2014-SN-015"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"2"
"discoveryear"	"2014"
"maxday"	"5"
"maxmonth"	"2"
"maxyear"	"2014"
"redshift"	"0.081"
"sndec"	"-68:34:20.3"
"snra"	"06:25:23.80"
"photometry"	"timeunit"	"MJD"	"time"	"56693.5"	"abmag"	"19.0"	"source"	"2,1"
