"name"	"SN2013fl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003660.txt'>CBET 3660</a>"	"alias"	"2"
"aliases"	"SN2013fl,PSN J17333955+5022255"
"claimedtype"	"IIP"
"discoverday"	"21"
"discoverer"	"Tom Boles"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"+502225"
"galra"	"173338"
"host"	"UGC 10908"
"hvel"	"5818"
"maxday"	"21"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.019407"
"sndec"	"+50:22:25.5"
"snra"	"17:33:39.55"
"photometry"	"timeunit"	"MJD"	"time"	"56556.5"	"abmag"	"17.6"	"source"	"2,1"
