"name"	"SN1999cz"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ic"
"discoverday"	"21"
"discoverer"	"Williams, Woodings"
"discovermonth"	"6"
"discoveryear"	"1999"
"galdec"	"-272432"
"galra"	"131950"
"host"	"NGC 5078"
"hvel"	"2157"
"maxday"	"21"
"maxmonth"	"6"
"maxyear"	"1999"
"redshift"	"0.00722"
"sndec"	"-272404.5"
"snra"	"131948.53"
"photometry"	"timeunit"	"MJD"	"time"	"51350.53"	"band"	"C"	"abmag"	"16"	"source"	"1,2"
