"name"	"SN2009ja"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001900/CBET001950.txt'>CBET 1950</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ja,CSS090830:230241-095954"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"8"
"discoveryear"	"2009"
"galdec"	"-095954"
"galra"	"230241"
"host"	"A230241-0959"
"maxday"	"29"
"maxmonth"	"8"
"maxyear"	"2009"
"redshift"	"0.069"
"sndec"	"-09:59:54.0"
"snra"	"23:02:41.05"
"photometry"	"timeunit"	"MJD"	"time"	"55072.5"	"abmag"	"18.6"	"source"	"2,1"
