"name"	"MLS150923:234618+040634"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://nesssi.cacr.caltech.edu/catalina/AllSN.html'>CRTS SN page</a>"	"alias"	"2"
"aliases"	"MLS150923:234618+040634,PS15cea"
"claimedtype"	"unk"
"discoverday"	"22"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2015"
"maxday"	"22"
"maxmonth"	"9"
"maxyear"	"2015"
"sndec"	"+04:06:33.9"
"snra"	"23:46:17.80"
"photometry"	"timeunit"	"MJD"	"time"	"57287.5"	"abmag"	"20.4"	"source"	"2,1"
