"name"	"MASTER OT J024231.12+082526.7"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6710'>ATEL 6710</a>"	"alias"	"2"
"aliases"	"MASTER OT J024231.12+082526.7,PS1-14abj"
"claimedtype"	"unk"
"discoverday"	"16"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2014"
"maxday"	"16"
"maxmonth"	"11"
"maxyear"	"2014"
"sndec"	"+08:25:26.7"
"snra"	"02:42:31.12"
"photometry"	"timeunit"	"MJD"	"time"	"56977.5"	"abmag"	"17.5"	"source"	"2,1"
