"name"	"PSN J14075666-3329244"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J14075666-3329244.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J14075666-3329244,SSS130422:140756-332924"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"host"	"ESO 384-G57"
"maxday"	"21"
"maxmonth"	"4"
"maxyear"	"2013"
"sndec"	"-33:29:24.4"
"snra"	"14:07:56.66"
"photometry"	"timeunit"	"MJD"	"time"	"56403.5"	"abmag"	"17.1"	"source"	"2,1"
