"name"	"SN2009mt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002000/CBET002090.txt'>CBET 2090</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009mt,CSS091125:040258+175627"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+175626"
"galra"	"040257"
"host"	"A040257+1756"
"maxday"	"24"
"maxmonth"	"11"
"maxyear"	"2009"
"sndec"	"+17:56:26.7"
"snra"	"04:02:57.68"
"photometry"	"timeunit"	"MJD"	"time"	"55159.5"	"abmag"	"17.1"	"source"	"2,1"
