"name"	"SN2003an"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"LOTOSS"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"+283029"
"galra"	"132753"
"host"	"M+05-32-22"
"hvel"	"11163"
"maxday"	"9"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.038"
"sndec"	"+283029.2"
"snra"	"132753.55"
"photometry"	"timeunit"	"MJD"	"time"	"52679.6"	"band"	"C"	"abmag"	"16.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52680.4"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
