"name"	"SN2007mo"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+004553"
"galra"	"221133"
"host"	"A221133+0045"
"hvel"	"63500"
"maxday"	"17"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.24"
"sndec"	"+004553.2"
"snra"	"221133.85"
"photometry"	"timeunit"	"MJD"	"time"	"54382.0"	"band"	"g"	"abmag"	"21.7"	"source"	"1"
