"name"	"SN2007ma"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"-005949"
"galra"	"004453"
"host"	"A004453-0059"
"hvel"	"31200"
"maxday"	"13"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.11"
"sndec"	"-005949.3"
"snra"	"004453.75"
"photometry"	"timeunit"	"MJD"	"time"	"54381.0"	"band"	"g"	"abmag"	"19.1"	"source"	"1"
