"name"	"SN2011je"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002950.txt'>CBET 2950</a>"	"alias"	"2"
"aliases"	"SN2011je,PSN J04055376+1328129"
"claimedtype"	"II-pec"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+132812"
"galra"	"040553"
"host"	"A040553+1328"
"hvel"	"5220"
"maxday"	"26"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0174"
"sndec"	"+13:28:12.8"
"snra"	"04:05:53.75"
"photometry"	"timeunit"	"MJD"	"time"	"55891.5"	"abmag"	"18.4"	"source"	"2,1"
