"name"	"PSN J10255982-3254100"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J10255982-3254100.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J10255982-3254100,SNhunt204"
"claimedtype"	"unk"
"discoverday"	"16"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2013"
"host"	"IC 2576"
"maxday"	"16"
"maxmonth"	"6"
"maxyear"	"2013"
"sndec"	"-32:54:10.0"
"snra"	"10:25:59.82"
"photometry"	"timeunit"	"MJD"	"time"	"56459.5"	"abmag"	"18.1"	"source"	"2,1"
