"name"	"SN2014bf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003889.txt'>CBET 3889</a>"	"alias"	"2"
"aliases"	"SN2014bf,PSN J15573523+1801476"
"claimedtype"	"IIP"
"discoverday"	"24"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"+180142"
"galra"	"155735"
"host"	"CGCG 108-18"
"hvel"	"9410"
"maxday"	"24"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.013"
"sndec"	"+18:01:47.6"
"snra"	"15:57:35.23"
"photometry"	"timeunit"	"MJD"	"time"	"56801.5"	"abmag"	"17.2"	"source"	"2,1"
