"name"	"SN2011jz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002995.txt'>CBET 2995</a>"	"alias"	"2"
"aliases"	"SN2011jz,PSN J04464170-6228022"
"claimedtype"	"II"
"discoverday"	"26"
"discoverer"	"Berto Monard"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-622751"
"galra"	"044644"
"host"	"ESO 85-G1"
"hvel"	"7962"
"maxday"	"26"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0265"
"sndec"	"-62:28:02.2"
"snra"	"04:46:41.70"
"photometry"	"timeunit"	"MJD"	"time"	"55891.5"	"abmag"	"17.3"	"source"	"2,1"
