"name"	"SN2008gt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001500/CBET001559.txt'>CBET 1559</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008gt,CSS081029:224444-030851"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2008"
"galdec"	"-030851"
"galra"	"224443"
"host"	"A224443-0308"
"maxday"	"28"
"maxmonth"	"10"
"maxyear"	"2008"
"sndec"	"-03:08:51.1"
"snra"	"22:44:43.69"
"photometry"	"timeunit"	"MJD"	"time"	"54767.5"	"abmag"	"18.4"	"source"	"2,1"
