"name"	"SN2011eg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002774.txt'>CBET 2774</a>"	"alias"	"2"
"aliases"	"SN2011eg,PSN J18425421+5302415"
"claimedtype"	"IIP"
"discoverday"	"4"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+530247"
"galra"	"184258"
"host"	"UGC 11343"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2011"
"sndec"	"+53:02:41.5"
"snra"	"18:42:54.20"
"photometry"	"timeunit"	"MJD"	"time"	"55869.5"	"abmag"	"15.6"	"source"	"2,1"
