"name"	"SN2012dr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003183.txt'>CBET 3183</a>"	"alias"	"2"
"aliases"	"SN2012dr,CSS120618:133350+260807"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+260807"
"galra"	"133949"
"host"	"A133949+2608"
"hvel"	"21300"
"maxday"	"17"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.071"
"sndec"	"+26:08:07.0"
"snra"	"13:33:50.00"
"photometry"	"timeunit"	"MJD"	"time"	"56095.5"	"abmag"	"18.6"	"source"	"2,1"
