"name"	"SN2011dj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002740.txt'>CBET 2740</a>"	"alias"	"2"
"aliases"	"SN2011dj,PSN J13070669-0110440"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2011"
"galdec"	"-011036"
"galra"	"130706"
"host"	"PGC 45427"
"hvel"	"5588"
"maxday"	"4"
"maxmonth"	"6"
"maxyear"	"2011"
"redshift"	"0.0185"
"sndec"	"-01:10:44.0"
"snra"	"13:07:06.69"
"photometry"	"timeunit"	"MJD"	"time"	"55716.5"	"abmag"	"15.1"	"source"	"2,1"
