"name"	"SN2014G"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003787.txt'>CBET 3787</a>"	"alias"	"2"
"aliases"	"SN2014G,PSN J10543413+5417569"
"claimedtype"	"IIL"
"discoverday"	"30"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"1"
"discoveryear"	"2014"
"galdec"	"+541817"
"galra"	"105439"
"host"	"NGC 3448"
"hvel"	"1388"
"maxday"	"30"
"maxmonth"	"1"
"maxyear"	"2014"
"redshift"	"0.004503"
"sndec"	"+54:17:56.9"
"snra"	"10:54:34.13"
"photometry"	"timeunit"	"MJD"	"time"	"56687.5"	"abmag"	"13.9"	"source"	"2,1"
