"name"	"SN2009ny"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002156.txt'>CBET 2156</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ny,CSS091020:221124-091244"
"claimedtype"	"Ib"
"discoverday"	"19"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2009"
"galdec"	"-091244"
"galra"	"221123"
"host"	"A221123-0912"
"hvel"	"17100"
"maxday"	"19"
"maxmonth"	"10"
"maxyear"	"2009"
"redshift"	"0.0588"
"sndec"	"-09:12:44.4"
"snra"	"22:11:23.59"
"photometry"	"timeunit"	"MJD"	"time"	"55123.5"	"abmag"	"18.2"	"source"	"2,1"
