"name"	"SN2011ap"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002670.txt'>CBET 2670</a>"	"alias"	"2"
"aliases"	"SN2011ap,PSN J18102840+3100342"
"claimedtype"	"IIn"
"discoverday"	"15"
"discoverer"	"Tom Boles"
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"+310011"
"galra"	"181027"
"host"	"IC 1277"
"hvel"	"7084"
"maxday"	"15"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.0236"
"sndec"	"+31:00:34.2"
"snra"	"18:10:28.40"
"photometry"	"timeunit"	"MJD"	"time"	"55607.5"	"abmag"	"15.9"	"source"	"2,1"
