"name"	"SN2011hu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002904.txt'>CBET 2904</a>"	"alias"	"2"
"aliases"	"SN2011hu,PSN J06334085-3416267"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"CHASE"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-341618"
"galra"	"063342"
"host"	"ESO 365-G29"
"hvel"	"7544"
"maxday"	"5"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0251"
"sndec"	"-34:16:26.7"
"snra"	"06:33:40.84"
"photometry"	"timeunit"	"MJD"	"time"	"55870.5"	"abmag"	"17.2"	"source"	"2,1"
