"name"	"PTF12cks"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4090'>ATEL 4090</a>"	"alias"	"2"
"aliases"	"PTF12cks,PS1-12ahf"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"PTF"
"discovermonth"	"5"
"discoveryear"	"2012"
"host"	"MCG +6-32-11"
"maxday"	"4"
"maxmonth"	"5"
"maxyear"	"2012"
"redshift"	"0.063"
"sndec"	"+34:15:16.2"
"snra"	"14:22:44.16"
"photometry"	"timeunit"	"MJD"	"time"	"56051.5"	"abmag"	"17.3"	"source"	"2,1"
