"name"	"SN2005nc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/08600/08696.html#Item1'>IAUC 8696</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2005nc,GRB 050525A"
"claimedtype"	"Ic"
"discoverday"	"29"
"discoverer"	"ESO"
"discovermonth"	"5"
"discoveryear"	"2005"
"galdec"	"+262022"
"galra"	"183232"
"host"	"A183232+2620"
"hvel"	"132000"
"maxday"	"29"
"maxmonth"	"5"
"maxyear"	"2005"
"redshift"	"0.606"
"sndec"	"+26:20:22.6"
"snra"	"18:32:32.58"
"photometry"	"timeunit"	"MJD"	"time"	"53519.5"	"abmag"	"24.0"	"source"	"2,1"
