"name"	"SN2007iy"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2007"
"galdec"	"-002519"
"galra"	"204105"
"host"	"A204105-0025"
"hvel"	"91400"
"maxday"	"1"
"maxmonth"	"9"
"maxyear"	"2007"
"redshift"	"0.37"
"sndec"	"-002519.6"
"snra"	"204105.96"
"photometry"	"timeunit"	"MJD"	"time"	"54346.0"	"band"	"g"	"abmag"	"22.9"	"source"	"1"
