"name"	"SN1999aa"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2006AJ....131..527J'>2006AJ....131..527J</a>"	"alias"	"2"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"3"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"4"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"5"
"source"	"name"	"S.Jha et al., 2005, astro-ph/0509234"	"alias"	"6"
"source"	"name"	"D.Yu.Tsvetkov, N.N.Pavlyuk. In preparation."	"alias"	"7"
"source"	"name"	"G.Altavilla et al., MNRAS, 349, 1344, 2004; astro-ph/0401273"	"alias"	"8"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"9"
"claimedtype"	"Ia pec"
"discoverday"	"11"
"discoverer"	"Arbour"
"discovermonth"	"2"
"discoveryear"	"1999"
"galdec"	"+212843"
"galra"	"082742"
"host"	"NGC 2595"
"hvel"	"4469"
"maxday"	"19"
"maxmonth"	"2"
"maxyear"	"1999"
"redshift"	"0.015"
"sndec"	"+212914.8"
"snra"	"082742.03"
"photometry"	"timeunit"	"MJD"	"time"	"51220.01"	"band"	"C"	"abmag"	"15.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51222.25"	"band"	"B"	"instrument"	"kait2"	"abmag"	"15.65600"	"aberr"	"0.03600"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"U"	"abmag"	"14.986"	"aberr"	"0.036"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"B"	"abmag"	"15.603"	"aberr"	"0.013"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"V"	"abmag"	"15.633"	"aberr"	"0.008"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"R"	"abmag"	"15.573"	"aberr"	"0.011"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"I"	"abmag"	"15.704"	"aberr"	"0.013"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"B"	"abmag"	"15.6"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"I"	"abmag"	"15.7"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"R"	"abmag"	"15.57"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"U"	"abmag"	"14.99"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51222.4"	"band"	"V"	"abmag"	"15.63"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51222.7"	"band"	"B"	"abmag"	"15.75"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51222.7"	"band"	"I"	"abmag"	"15.87"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51222.7"	"band"	"R"	"abmag"	"15.6"	"source"	"4,7"
