"name"	"SN2002hi"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"IIn"
"discoverday"	"21"
"discoverer"	"LOTOSS"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"+175818"
"galra"	"071954"
"host"	"A071954+1758"
"hvel"	"18300"
"maxday"	"21"
"maxmonth"	"10"
"maxyear"	"2002"
"redshift"	"0.063"
"sndec"	"+175818.2"
"snra"	"071954.08"
"photometry"	"timeunit"	"MJD"	"time"	"52568.5"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52578.5"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
