"name"	"SN1999fz"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Puckett, Langoussis, George"
"discovermonth"	"12"
"discoveryear"	"1999"
"galdec"	"+783231"
"galra"	"130218"
"host"	"UGC 8164"
"hvel"	"6632"
"maxday"	"31"
"maxmonth"	"12"
"maxyear"	"1999"
"redshift"	"0.0224"
"sndec"	"+783229.4"
"snra"	"130216.34"
"photometry"	"timeunit"	"MJD"	"time"	"51543.2"	"band"	"R"	"abmag"	"17.9"	"source"	"1,2"
