"name"	"PSN J00280503-5806065"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J00280503-5806065.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J00280503-5806065,SNhunt148"
"claimedtype"	"II"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2012"
"host"	"ESO 112-G4"
"maxday"	"13"
"maxmonth"	"9"
"maxyear"	"2012"
"sndec"	"-58:06:06.5"
"snra"	"00:28:05.03"
"photometry"	"timeunit"	"MJD"	"time"	"56183.5"	"abmag"	"18.1"	"source"	"2,1"
