"name"	"K0811-2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001600/CBET001682.txt'>CBET 1682</a>"	"alias"	"2"
"aliases"	"K0811-2,CSS081119:013055-014208"
"claimedtype"	"unk"
"discoverday"	"18"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2008"
"maxday"	"18"
"maxmonth"	"11"
"maxyear"	"2008"
"sndec"	"-01:42:08.2"
"snra"	"01:30:54.81"
"photometry"	"timeunit"	"MJD"	"time"	"54788.5"	"abmag"	"19.2"	"source"	"2,1"
