"name"	"HST 0717201+374954"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3731'>ATEL 3731</a>"	"alias"	"2"
"aliases"	"HST 0717201+374954"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"HST"
"discovermonth"	"10"
"discoveryear"	"2011"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.261"
"sndec"	"+37:49:54.54"
"snra"	"07:17:20.115"
"photometry"	"timeunit"	"MJD"	"time"	"55863.5"	"abmag"	"21.5"	"source"	"2,1"
