"name"	"SN1989L"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"II P"
"discoverday"	"4"
"discoverer"	"Pennypacker, Perlmutter"
"discovermonth"	"5"
"discoveryear"	"1989"
"galdec"	"+234714"
"galra"	"223747"
"host"	"NGC 7339"
"hvel"	"1338"
"maxday"	"5"
"maxmonth"	"6"
"maxyear"	"1989"
"redshift"	"0.00447"
"sndec"	"+234712.7"
"snra"	"223749.74"
"photometry"	"timeunit"	"MJD"	"time"	"47650.0"	"abmag"	"17.5"	"source"	"1"
